ID,asistencia_27/02,asistencia_06/03,asistencia_13/03,asistencia_20/03,asistencia_27/03,asistencia_03/04,asistencia_10/04,asistencia_17/04,asistencia_24/04,asistencia_01/05,asistencia_08/05,asistencia_15/05,asistencia_22/05
1,,NO,,NO,NO,,,semana_santa,NO,NO,NO,,
2,,,,,,,,semana_santa,,NO,NO,,
3,,,,,,,,semana_santa,,,,,NO
4,,,,,,NO,,semana_santa,,NO,NO,NO,NO
5,,,,,NO,,,semana_santa,,,,NO,NO
6,,,,,,,,semana_santa,,,,,NO
7,,,,,,,,semana_santa,,NO,NO,NO,NO
8,NO,NO,,,NO,,,semana_santa,,,,,
9,,,,,,,,semana_santa,,NO,,,
10,,,,,,,,semana_santa,,,NO,NO,
11,,,,,,,,semana_santa,,,,,
12,,,,,,,,semana_santa,,,,,NO
13,,,,,,,,semana_santa,,,,,
14,NO,NO,,,,NO,,semana_santa,NO,NO,NO,,NO
15,NO,NO,,,,,,semana_santa,,,,NO,
16,NO,NO,NO,NO,,,,semana_santa,,,NO,,NO
17,,NO,NO,NO,,,,semana_santa,NO,NO,NO,,
18,,NO,,,,NO,,semana_santa,NO,NO,NO,,NO
19,,,,,,,,semana_santa,,,,,
20,,,,,,,,semana_santa,,,,,
21,,NO,,,,,,semana_santa,,,,NO,NO
22,,NO,,,,,,semana_santa,,,,,NO
23,,,,,,,,semana_santa,,,,,
24,,,,,,,,semana_santa,,,,,NO
25,,,,,,,,semana_santa,,,,,
26,,,,,,,,semana_santa,,,,,
27,,,,,,,,semana_santa,,,,,NO
28,,,,,,,,semana_santa,,,,,NO
29,,,,,,,,semana_santa,,,,,NO
30,,,,,,,,semana_santa,,,,,
31,,,,,,,,semana_santa,,,,,
32,NO,NO,,NO,,NO,,semana_santa,,,,NO,NO
33,,,,,,,,semana_santa,,,,,
34,,,,,,,,semana_santa,,,,NO,
35,,,,,,,,semana_santa,,,,,
36,,,,,,,,semana_santa,NO,,,,NO
37,,,,,,,,semana_santa,NO,,,NO,
38,NO,,,,,,,semana_santa,,,,,
39,,,,,,,,semana_santa,,,,,
40,,NO,,NO,,,,semana_santa,NO,NO,NO,,NO
41,NO,,,NO,NO,NO,NO,semana_santa,NO,NO,NO,NO,NO
42,,NO,,,,,,semana_santa,,,,NO,
43,,,,,,,,semana_santa,,,,,
44,,,,,,,,semana_santa,,,,,
45,,NO,,,,,,semana_santa,,,NO,,
46,,,,,,,,semana_santa,NO,,,,
47,,,,,,,,semana_santa,NO,,,NO,
48,,,,,,,,semana_santa,,,,,
49,,,,,,,,semana_santa,,,,,
50,,NO,NO,,,,,semana_santa,,,,,
51,,,NO,,,,,semana_santa,,,,,
52,,,,,,,,semana_santa,,,,,
53,,,,,,,,semana_santa,,,,,
54,,,,,,,,semana_santa,,,,,
55,,,,,,,,semana_santa,NO,,,,
56,,NO,,,,,,semana_santa,,,,,
57,,,,,,,,semana_santa,NO,NO,NO,,
58,,,,,,,,semana_santa,,,,,NO
59,NO,NO,NO,NO,NO,NO,,semana_santa,NO,NO,NO,NO,NO
60,NO,NO,NO,NO,NO,NO,,semana_santa,NO,NO,NO,NO,NO
61,NO,NO,NO,NO,NO,NO,,semana_santa,NO,NO,NO,NO,NO
62,,,,NO,NO,NO,NO,semana_santa,NO,NO,NO,NO,NO
63,,,,,,,,semana_santa,NO,,,,
64,,,NO,,NO,,,semana_santa,,,,,NO
65,,,,,,,,semana_santa,,,,NO,
66,,,,,,NO,,semana_santa,,,,NO,
67,NO,NO,,,,NO,,semana_santa,,,NO,NO,NO
68,,,,,,,,semana_santa,,,,NO,
69,,,NO,,NO,,,semana_santa,NO,,,,NO
70,NO,,,NO,NO,NO,,semana_santa,NO,NO,NO,,NO
71,,,,,,,,semana_santa,,,NO,,
72,NO,,,,,,,semana_santa,,,NO,NO,NO
73,,NO,,,NO,NO,,semana_santa,NO,NO,NO,NO,NO
