ID, asistencia_27/02, asistencia_06/03, asistencia_13/03, asistencia_20/03, asistencia_27/03, asistencia_03/04, asistencia_10/04, asistencia_24/04, asistencia_01/05, asistencia_08/05, asistencia_15/05, asistencia_22/05
 1,                 , NO              ,                 , NO              , NO              ,                 ,                 , NO              , NO              , NO              ,                 , 
 2,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , NO              ,                 , 
 3,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
 4,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 , NO              , NO              , NO              , NO
 5,                 ,                 ,                 ,                 , NO              ,                 ,                 ,                 ,                 ,                 , NO              , NO
 6,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
 7,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , NO              , NO              , NO
 8, NO              , NO              ,                 ,                 , NO              ,                 ,                 ,                 ,                 ,                 ,                 , 
 9,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 , 
10,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , NO              , 
11,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
12,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
13,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
14, NO              , NO              ,                 ,                 ,                 , NO              ,                 , NO              , NO              , NO              ,                 , NO
15, NO              , NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , 
16, NO              , NO              , NO              , NO              ,                 ,                 ,                 ,                 ,                 , NO              ,                 , NO
17,                 , NO              , NO              , NO              ,                 ,                 ,                 , NO              , NO              , NO              ,                 , 
18,                 , NO              ,                 ,                 ,                 , NO              ,                 , NO              , NO              , NO              ,                 , NO
19,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
20,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
21,                 , NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , NO
22,                 , NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
23,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
24,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
25,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
26,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
27,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
28,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
29,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
30,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
31,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
32, NO              , NO              ,                 , NO              ,                 , NO              ,                 ,                 ,                 ,                 , NO              , NO
33,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
34,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , 
35,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
36,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 ,                 , NO
37,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 , NO              , 
38, NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
39,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
40,                 , NO              ,                 , NO              ,                 ,                 ,                 , NO              , NO              , NO              ,                 , NO
41, NO              ,                 ,                 , NO              , NO              , NO              , NO              , NO              , NO              , NO              , NO              , NO
42,                 , NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , 
43,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
44,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
45,                 , NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 , 
46,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 ,                 , 
47,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 , NO              , 
48,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
49,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
50,                 , NO              , NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
51,                 ,                 , NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
52,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
53,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
54,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
55,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 ,                 , 
56,                 , NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , 
57,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , NO              , NO              ,                 , 
58,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO
59, NO              , NO              , NO              , NO              , NO              , NO              ,                 , NO              , NO              , NO              , NO              , NO
60, NO              , NO              , NO              , NO              , NO              , NO              ,                 , NO              , NO              , NO              , NO              , NO
61, NO              , NO              , NO              , NO              , NO              , NO              ,                 , NO              , NO              , NO              , NO              , NO
62,                 ,                 ,                 , NO              , NO              , NO              , NO              , NO              , NO              , NO              , NO              , NO
63,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 ,                 , 
64,                 ,                 , NO              ,                 , NO              ,                 ,                 ,                 ,                 ,                 ,                 , NO
65,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , 
66,                 ,                 ,                 ,                 ,                 , NO              ,                 ,                 ,                 ,                 , NO              , 
67, NO              , NO              ,                 ,                 ,                 , NO              ,                 ,                 ,                 , NO              , NO              , NO
68,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , 
69,                 ,                 , NO              ,                 , NO              ,                 ,                 , NO              ,                 ,                 ,                 , NO
70, NO              ,                 ,                 , NO              , NO              , NO              ,                 , NO              , NO              , NO              ,                 , NO
71,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              ,                 , 
72, NO              ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 , NO              , NO              , NO
73,                 , NO              ,                 ,                 , NO              , NO              ,                 , NO              , NO              , NO              , NO              , NO
