ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
69,5,3,4,1,1,No
62,4,4,3,2,3,No
63,5,3,4,3,3,No
71,4,3,5,3,2,No
72,5,1,4,3,1,Si
53,4,1,3,2,2,No
56,4,1,4,4,3,Si
65,5,5,4,2,2,No
54,5,3,4,3,1,No
66,5,1,4,3,2,No
67,5,1,3,3,1,No
42,2,1,4,3,1,No
55,5,3,5,2,1,No
68,4,3,5,3,2,No
58,5,4,5,3,1,No
64,4,3,4,2,1,No
14,5,4,4,3,2,No
5,5,3,5,3,3,No
73,4,5,2,1,3,A medias
13,4,1,4,2,1,No
18,5,4,5,4,5,A medias
6,3,1,4,4,3,No
2,2,4,4,3,2,No
9,4,3,4,3,4,No
17,5,3,5,3,2,No
7,5,3,4,3,3,No
16,4,3,4,2,4,A medias
8,3,1,3,3,2,No
12,4,5,4,1,2,No
15,4,4,4,2,3,No
10,5,2,5,3,2,No
1,3,4,3,4,3,No
11,4,3,4,3,3,No
3,4,3,4,3,3,No
28,5,3,5,2,2,No
27,5,3,3,2,2,No
29,4,3,4,2,2,No
19,4,3,5,3,3,No
34,5,3,5,3,2,No
35,4,3,5,3,2,No
30,5,3,5,3,2,No
20,5,3,4,2,4,No
40,4,1,5,3,3,A medias
22,5,5,5,4,3,No
33,5,3,5,3,2,No
46,5,1,3,3,2,No
44,4,2,4,2,2,No
52,4,3,5,3,1,A medias
51,4,3,3,3,1,A medias
47,4,2,5,3,2,No
39,5,3,5,2,2,No
45,4,2,5,4,3,No
24,5,1,4,2,2,A medias
23,4,1,3,2,1,No
48,4,3,4,3,2,A medias
25,4,1,3,2,2,No
38,4,1,3,5,3,Si
49,4,2,4,2,1,No
41,2,4,1,2,2,A medias
43,4,3,4,3,2,A medias
26,3,2,2,3,1,No
37,5,3,4,3,1,No
32,4,3,3,4,3,Si
31,5,2,5,3,1,A medias
36,3,1,3,2,2,No
4,4,2,4,4,4,No
50,4,1,3,4,2,A medias
