ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
60,5,5,5,2,3,No
57,5,4,4,4,5,Si
66,3,3,3,3,3,No
53,3,1,1,3,5,No
67,3,2,3,2,3,A medias
68,4,3,4,3,5,No
65,5,4,3,4,4,No
70,4,4,4,4,5,No
54,5,4,5,4,5,No
64,4,5,2,3,5,No
59,4,5,3,4,5,Si
72,5,5,5,5,5,No
56,3,3,3,3,3,Si
55,5,3,5,3,3,No
58,5,3,5,3,5,No
63,4,2,2,3,5,Si
71,4,3,5,3,5,A medias
6,5,5,5,5,2,A medias
2,4,3,3,3,3,A medias
1,4,4,3,3,5,No
9,4,3,4,3,3,No
4,4,5,4,5,4,A medias
13,5,1,4,2,5,No
3,5,3,1,1,4,Si
11,5,3,5,3,5,No
8,3,3,3,3,3,No
18,5,5,4,5,5,A medias
12,4,4,4,1,4,No
73,5,5,3,1,3,Si
46,5,5,3,4,5,No
47,5,4,5,2,3,No
26,5,2,3,3,5,No
23,3,3,3,3,5,A medias
25,3,3,4,3,5,Si
21,5,4,4,2,4,Si
30,5,3,4,2,3,No
31,5,2,3,2,5,No
41,2,4,1,2,5,Si
42,5,5,5,3,5,No
40,3,3,3,2,4,No
43,5,3,4,3,5,Si
44,5,4,3,3,5,A medias
39,4,5,3,1,5,Si
45,5,1,3,3,2,No
33,5,3,5,2,5,No
51,4,3,3,2,3,No
52,4,3,4,4,5,Si
49,4,1,4,2,5,No
48,3,1,3,3,5,Si
28,4,4,4,3,3,No
27,4,4,3,3,5,No
37,5,4,5,2,5,No
29,3,2,4,2,3,No
20,4,3,5,2,4,No
50,3,4,3,3,2,A medias
