ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
56.0,4,2,3,4,4,No
54.0,5,5,5,3,3,No
66.0,4,4,4,3,2,No
68.0,4,4,5,3,3,No
65.0,4,2,3,3,4,No
71.0,4,3,4,3,3,A medias
59.0,4,2,2,3,5,Si
72.0,2,2,3,4,4,A medias
57.0,4,4,5,2,4,No
58.0,5,1,5,2,3,No
67.0,3,2,2,3,1,Si
60.0,5,5,5,3,3,A medias
63.0,4,2,3,3,3,Si
55.0,5,5,5,3,3,No
53.0,4,4,3,3,4,No
2.0,3,4,3,2,2,A medias
1.0,3,3,3,2,2,A medias
6.0,4,2,4,3,2,No
12.0,4,5,4,3,3,No
4.0,3,2,3,3,4,A medias
7.0,4,4,3,4,2,No
17.0,5,3,5,3,4,No
9.0,4,3,4,2,3,No
3.0,3,1,2,4,3,Si
50.0,4,2,4,4,2,Si
18.0,5,4,5,5,5,Si
16.0,4,5,4,3,5,Si
10.0,5,1,4,3,3,No
11.0,4,4,3,4,4,A medias
13.0,4,3,4,2,2,A medias
73.0,4,5,1,2,5,A medias
32.0,3,3,3,3,3,Si
52.0,4,4,5,4,2,A medias
41.0,3,5,2,2,5,A medias
19.0,5,2,4,3,3,A medias
24.0,5,3,4,2,4,Si
39.0,4,3,4,2,5,A medias
29.0,4,3,4,2,2,No
40.0,4,3,3,2,3,No
37.0,5,4,5,3,4,No
47.0,5,3,4,4,4,No
27.0,5,3,3,2,2,A medias
30.0,4,2,4,4,1,No
46.0,5,1,3,3,3,No
26.0,4,3,2,3,3,No
21.0,5,3,4,3,3,No
23.0,3,2,4,2,2,No
31.0,5,4,5,3,2,No
42.0,4,1,3,3,4,No
45.0,4,1,4,3,2,Si
38.0,5,4,4,3,4,No
22.0,4,4,5,4,3,No
20.0,5,5,5,2,2,No
44.0,4,2,4,3,3,Si
43.0,4,2,3,3,4,No
34.0,5,3,5,5,4,No
28.0,5,3,4,2,2,No
25.0,5,1,3,3,5,No
49.0,4,2,4,1,4,A medias
48.0,4,2,4,3,5,Si
33.0,5,3,5,3,3,No
36.0,4,2,3,2,2,No
35.0,4,2,5,3,3,No
