ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
59.0,5,5,5,5,5,No
60.0,5,5,5,5,5,No
68.0,4,2,3,3,3,No
58.0,5,4,5,2,3,No
57.0,5,4,5,3,3,No
56.0,4,3,4,2,3,Si
63.0,4,2,2,4,4,A medias
70.0,5,4,4,3,4,No
54.0,5,4,5,3,3,No
72.0,5,5,5,4,2,A medias
64.0,4,4,4,3,4,Si
53.0,4,2,3,3,5,No
71.0,4,3,5,3,2,Si
55.0,5,5,5,3,4,No
4.0,4,4,4,4,4,Si
6.0,4,4,4,4,4,No
8.0,4,1,3,3,2,No
9.0,4,3,4,3,3,No
7.0,4,2,3,2,1,No
1.0,3,3,3,2,4,No
73.0,4,5,1,1,1,No
13.0,4,3,4,2,5,Si
17.0,5,5,5,4,5,No
18.0,5,4,5,4,4,No
12.0,4,4,2,3,3,No
3.0,4,4,4,3,2,No
2.0,3,2,2,3,1,A medias
10.0,5,3,4,4,2,No
11.0,4,5,4,3,4,No
50.0,3,3,4,3,4,Si
5.0,5,3,4,1,4,No
24.0,5,3,3,2,5,A medias
38.0,5,4,4,2,3,No
36.0,4,2,3,2,4,No
46.0,5,3,2,3,4,No
43.0,4,5,4,3,4,A medias
44.0,4,5,4,3,4,Si
47.0,4,4,4,3,3,No
27.0,5,4,3,2,2,No
40.0,3,3,2,3,4,No
48.0,4,1,3,4,5,Si
23.0,4,4,4,2,3,No
30.0,4,3,3,3,4,A medias
32.0,3,3,3,3,3,Si
34.0,5,5,4,2,4,No
35.0,5,5,5,3,4,No
28.0,5,4,4,3,3,No
29.0,4,3,4,2,2,A medias
49.0,5,5,4,2,4,No
25.0,5,3,2,2,5,A medias
31.0,5,3,3,3,3,No
52.0,4,5,4,4,3,A medias
26.0,4,4,3,2,2,No
33.0,5,4,5,3,4,No
45.0,4,1,4,2,3,Si
51.0,4,4,3,3,3,A medias
20.0,5,3,5,2,2,No
19.0,5,2,4,3,4,A medias
21.0,5,2,5,3,3,A medias
22.0,4,5,4,2,4,A medias
37.0,5,3,5,3,5,A medias
39.0,3,4,3,3,4,A medias
41.0,2,1,1,2,3,A medias
42.0,5,4,4,3,4,A medias
