ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
60,5,5,5,3,3,No
53,3,1,2,3,5,No
71,4,3,5,4,4,Si
54,5,3,5,3,5,No
56,4,3,4,3,3,No
63,4,4,4,4,5,A medias
64,4,5,5,2,5,A medias
58,5,5,5,3,4,No
72,5,4,5,3,3,No
66,4,3,4,3,4,No
55,5,3,5,3,3,No
59,5,5,5,5,5,No
67,4,3,4,2,2,Si
68,5,4,5,2,3,No
57,4,4,5,4,3,A medias
65,4,1,2,3,4,A medias
18,5,4,4,4,5,No
8,5,1,4,3,1,No
14,4,3,3,3,3,A medias
4,5,3,4,3,4,Si
15,5,5,4,1,1,No
6,4,4,4,2,2,No
17,5,5,5,3,5,No
1,2,3,3,3,5,A medias
2,2,3,3,3,2,No
12,4,4,4,3,2,No
13,4,3,4,2,5,A medias
50,5,4,4,3,4,Si
73,5,5,2,1,1,Si
9,4,3,4,3,5,No
3,3,1,2,3,3,Si
7,4,2,3,2,3,No
11,4,4,3,4,5,No
5,5,3,4,5,5,No
10,4,4,4,3,2,A medias
24,4,2,3,4,5,A medias
29,4,3,4,3,3,No
30,4,3,3,4,3,No
51,4,4,5,2,3,A medias
47,5,3,5,3,2,No
40,4,2,5,3,3,No
26,4,2,4,2,1,No
25,5,2,4,4,5,A medias
44,4,4,4,3,4,A medias
32,3,3,3,3,3,A medias
23,4,2,3,2,2,No
28,5,4,4,3,3,No
27,5,3,3,4,2,No
43,4,3,3,3,5,Si
38,4,3,4,3,5,No
19,5,2,5,3,3,A medias
39,4,2,4,3,2,A medias
46,5,4,5,3,4,No
41,2,1,1,4,5,Si
20,5,3,5,3,4,No
21,5,3,5,3,5,No
31,5,4,3,3,5,A medias
37,5,2,5,2,5,No
35,5,2,4,2,5,No
48,4,4,4,2,5,A medias
49,5,5,4,1,5,Si
52,4,4,4,4,4,A medias
22,3,4,4,4,5,Si
45,4,4,2,2,3,No
36,4,4,4,1,3,No
33,5,3,5,3,5,No
34,5,3,4,2,5,A medias
