ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
55,5,3,5,3,3,No
56,3,3,3,3,3,Si
67,3,2,2,3,3,Si
59,5,5,4,2,5,A medias
57,4,4,4,4,3,A medias
60,5,3,5,3,3,No
66,4,2,4,3,3,No
65,4,4,5,4,4,No
64,4,2,4,3,5,No
58,5,3,5,3,4,No
54,5,3,3,3,5,No
53,2,1,1,3,1,No
72,3,2,4,3,3,No
63,3,3,2,4,4,Si
12,4,4,4,3,3,No
6,4,4,4,2,4,No
9,3,4,4,3,3,No
8,5,3,3,3,4,No
16,5,5,4,3,2,A medias
13,5,1,5,2,5,A medias
17,5,5,5,4,5,Si
70,5,3,4,3,5,No
15,5,5,5,1,1,No
7,4,2,3,2,4,No
73,3,5,3,1,5,A medias
5,5,5,4,3,1,No
4,5,3,4,3,3,Si
24,3,2,3,3,5,A medias
32,4,4,4,4,4,A medias
21,4,2,4,3,5,No
19,5,2,5,3,3,A medias
26,5,1,4,2,2,No
39,5,4,3,2,2,Si
36,4,3,3,2,4,No
23,4,2,4,3,4,No
27,5,4,3,3,3,No
37,5,4,4,2,5,No
34,5,5,4,3,5,No
51,4,4,3,3,2,A medias
29,4,4,3,2,2,No
40,4,2,2,3,5,No
38,4,2,3,2,5,A medias
35,5,1,4,3,5,No
50,4,3,2,2,4,A medias
25,5,1,3,2,5,Si
30,4,3,4,3,5,A medias
48,5,1,3,2,5,Si
31,5,3,5,2,5,No
49,5,1,5,1,5,A medias
33,5,3,5,3,5,No
52,4,4,2,3,5,A medias
46,5,4,5,3,2,No
44,4,3,4,2,5,Si
42,4,2,3,3,4,No
43,4,3,4,3,4,Si
47,5,4,4,3,3,No
45,4,1,2,2,3,No
28,5,3,4,3,3,No
22,5,5,5,5,5,A medias
