ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
59,5,5,5,3,5,Si
60,5,5,5,5,5,No
71,3,1,5,3,5,Si
66,4,2,3,4,3,No
67,3,2,3,3,2,Si
65,4,5,3,4,3,No
53,3,4,1,3,5,No
54,5,4,3,3,5,No
68,4,4,5,3,3,A medias
69,5,4,5,3,2,No
72,5,5,5,5,5,No
64,4,4,4,4,4,No
61,5,5,4,2,4,A medias
55,5,5,5,3,4,No
17,5,5,5,3,5,A medias
1,4,5,4,3,4,No
2,4,5,4,3,3,No
3,4,4,2,1,2,Si
15,5,5,5,1,1,No
9,4,4,4,3,4,No
14,4,4,4,3,4,No
18,5,5,4,5,5,Si
6,5,5,5,2,5,No
13,5,4,5,2,4,No
73,3,5,3,1,4,Si
5,4,2,4,3,4,No
8,3,2,3,3,3,No
11,4,4,4,3,5,No
4,5,5,5,4,4,Si
46,5,4,3,4,5,Si
47,4,5,4,3,5,No
40,3,5,3,3,4,No
20,4,5,3,2,3,A medias
24,5,4,3,2,5,Si
52,4,4,5,4,5,A medias
23,3,5,4,2,3,No
31,5,1,3,3,5,Si
39,3,5,3,2,5,Si
26,3,5,4,2,4,No
50,3,4,3,3,3,Si
32,4,4,3,3,5,Si
19,5,1,4,3,4,A medias
25,5,5,3,3,5,No
29,4,2,4,2,2,No
44,4,5,4,3,4,A medias
30,4,5,4,4,5,No
27,4,5,4,2,4,A medias
42,4,3,4,3,4,A medias
38,4,5,4,3,5,A medias
49,5,4,5,1,5,Si
28,5,4,4,3,3,No
22,4,2,4,3,5,A medias
43,4,5,4,3,5,Si
48,3,4,2,4,5,Si
51,4,3,3,2,2,No
34,5,5,4,3,5,No
45,4,1,3,2,3,A medias
33,5,5,5,3,5,No
37,5,5,5,4,5,A medias
21,4,5,4,4,5,Si
36,4,2,3,2,2,Si
35,5,5,4,2,4,No
