ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
12,3,3,3,3,3,No
9,4,3,4,3,3,No
2,5,2,3,3,1,No
16,4,4,2,2,3,Si
8,5,3,5,5,1,No
11,4,4,4,3,5,No
3,5,4,2,1,3,No
7,4,2,2,1,1,No
18,5,4,4,4,5,Si
10,5,3,5,3,1,Si
6,5,5,5,1,1,No
13,5,3,4,1,3,No
17,5,5,5,3,3,No
5,5,4,4,3,3,Si
14,4,4,3,3,2,No
73,4,5,2,1,3,No
15,5,5,5,1,5,No
4,5,5,5,3,3,A medias
35,5,3,4,2,4,No
32,3,4,4,3,4,A medias
39,5,3,4,2,3,Si
52,4,4,5,3,5,A medias
43,5,3,3,2,4,Si
41,2,1,2,1,5,Si
40,3,2,3,2,3,No
24,5,3,4,3,5,A medias
42,5,3,5,2,3,No
38,4,2,4,3,4,No
51,4,2,3,2,2,No
23,4,3,4,2,4,A medias
34,5,2,4,3,5,No
47,4,4,4,2,3,No
30,5,1,4,3,1,No
45,5,5,5,1,1,No
44,4,3,4,2,5,A medias
27,5,5,3,4,1,No
21,4,4,4,3,5,Si
25,5,1,4,3,5,No
20,5,4,5,2,3,No
26,5,3,4,1,3,No
48,4,1,4,2,5,Si
28,4,4,4,2,2,No
33,5,3,5,3,5,No
50,3,3,4,2,2,No
49,5,3,5,1,4,No
19,4,3,4,3,3,A medias
22,4,3,5,3,4,A medias
31,5,4,5,2,5,No
29,4,2,4,2,1,No
