ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
6,5,2,5,1,1,No
17,5,5,5,3,5,A medias
9,4,3,4,3,2,No
2,3,3,3,4,3,No
1,4,4,4,3,3,A medias
15,5,5,5,1,2,No
14,4,4,3,2,1,Si
4,4,4,5,3,2,A medias
10,5,5,5,3,3,A medias
3,4,4,2,1,1,A medias
13,4,4,4,2,3,No
