ID,Estoy satisfecho/a con las explicaciones sobre el tema impartidas por el profesor esta semana.,Considero que he dedicado tiempo adecuado a la asignatura esta semana,Me siento motivado/a con los contenidos del tema actual impartido.,El tema actual impartido me ha parecido difícil.,"La carga de trabajo durante esta semana ha sido alta (prácticas, asignaturas, trabajo, etc.).",¿Has tenido algún problema o frustración personal que consideres que haya podido afectar a tu rendimiento esta semana?
59,5,5,5,2,5,No
56,4,3,4,4,5,No
54,5,3,4,2,5,No
63,3,1,2,3,3,Si
55,5,2,5,3,1,No
60,5,5,5,3,2,No
53,3,1,1,3,5,No
58,5,5,5,1,4,No
70,5,3,4,2,5,A medias
65,5,4,4,1,1,No
57,5,4,5,2,2,Si
66,3,3,3,3,3,No
68,4,3,5,2,2,No
72,5,5,5,5,5,No
64,4,2,3,1,3,No
71,4,2,5,3,5,A medias
8,5,5,5,3,2,No
1,4,2,3,2,5,A medias
9,4,3,4,3,3,No
13,5,5,5,2,4,No
10,5,3,5,3,3,No
11,5,2,4,3,5,No
7,4,2,3,1,1,No
15,5,5,5,1,1,No
12,4,4,4,3,3,No
17,5,5,5,5,5,Si
5,5,3,4,2,3,No
18,5,5,4,5,5,Si
6,5,5,5,5,5,No
4,5,4,5,3,4,A medias
35,5,4,5,2,4,No
47,5,3,4,2,2,No
29,4,2,3,2,2,No
46,5,5,5,5,5,A medias
27,4,2,2,2,3,A medias
42,4,5,4,3,5,Si
28,4,3,4,2,2,No
26,4,2,3,1,3,No
44,4,4,3,3,5,No
25,5,3,4,2,5,No
24,5,3,4,2,5,No
23,4,3,4,2,4,No
43,4,3,3,2,5,Si
34,5,4,4,3,5,No
32,4,4,4,4,4,Si
30,5,3,4,3,2,No
22,4,3,5,4,4,A medias
40,3,2,3,3,2,No
50,4,2,3,3,2,A medias
48,5,1,3,3,5,Si
49,5,1,2,2,5,No
33,5,4,5,2,5,No
20,4,4,5,2,4,No
31,5,5,5,2,5,No
45,3,1,3,3,2,Si
19,5,2,4,3,4,A medias
37,5,2,5,2,5,No
