,num_isolated_nodes,neighbor_variance,neighbor_std_dev,num_outliers,grade_homophily,assortativity,dirichlet_energy,algebraic_connectivity,dynamic_max_variance,dynamic_min_variance,dynamic_avg_variance
Temp_a_graph_5NN.pt,0,0.015132592059671879,0.12301459908485413,4,0.44058823389902246,0.1905004786344277,0.03304571648166604,0.30507404770711866,,,
MP_a_graph_5NN.pt,0,0.015132592059671879,0.12301459908485413,4,0.44058823389902246,0.1905004786344277,0.03304571648166604,0.30507404770711866,,,
Concat_a_graph_5NN.pt,0,0.015132592059671879,0.12301459908485413,4,0.44058823389902246,0.1905004786344277,0.03304571648166604,0.30507404770711866,,,
Temp_g_graph_5NN.pt,0,0.005619126837700605,0.07496083527803421,0,0.8311418375866513,0.7553601692064731,0.012477258133561644,0.12595228245948464,,,
MP_g_graph_5NN.pt,0,0.005619126837700605,0.07496083527803421,0,0.8311418375866513,0.7553601692064731,0.012477258133561644,0.12595228245948464,,,
Concat_g_graph_5NN.pt,0,0.005619126837700605,0.07496083527803421,0,0.8311418375866513,0.7553601692064731,0.012477258133561644,0.12595228245948464,,,
Temp_a&g_graph_5NN.pt,0,0.01106193382292986,0.10517572611570358,4,0.6971235222868248,0.4639560345904614,0.022791447051583903,0.32652642205822496,,,
MP_a&g_graph_5NN.pt,0,0.01106193382292986,0.10517572611570358,4,0.6971235222868248,0.4639560345904614,0.022791447051583903,0.32652642205822496,,,
Concat_a&g_graph_5NN.pt,0,0.01106193382292986,0.10517572611570358,4,0.6971235222868248,0.4639560345904614,0.022791447051583903,0.32652642205822496,,,
Temp_f3w_graph_5NN.pt,0,0.019642531871795654,0.14015181362628937,4,0.2677810694148989,0.14317444607650112,0.04159731930249358,0.3163100212723274,,,
MP_f3w_graph_5NN.pt,0,0.019642531871795654,0.14015181362628937,4,0.2677810694148989,0.14317444607650112,0.04159731930249358,0.3163100212723274,,,
Concat_f3w_graph_5NN.pt,0,0.019642531871795654,0.14015181362628937,4,0.2677810694148989,0.14317444607650112,0.04159731930249358,0.3163100212723274,,,
Temp_a_dynamic_graph_5NN.pt,0,0.015132592059671879,0.12301459908485413,4,0.44058823389902246,0.1905004786344277,0.03304571648166604,0.30507404770711866,0.019139640033245087,0.00875134952366352,0.014135083106035987
Temp_g_dynamic_graph_5NN.pt,0,0.005619126837700605,0.07496083527803421,0,0.8311418375866513,0.7553601692064731,0.012477258133561644,0.12595228245948464,,,
Temp_a&g_dynamic_graph_5NN.pt,0,0.01106193382292986,0.10517572611570358,4,0.6971235222868248,0.4639560345904614,0.022791447051583903,0.32652642205822496,0.019139640033245087,0.01106193382292986,0.0126595264300704
Temp_f3w_dynamic_graph_5NN.pt,0,0.019642531871795654,0.14015181362628937,4,0.2677810694148989,0.14317444607650112,0.04159731930249358,0.3163100212723274,,,
Temp_all_graph_5NN.pt,0,0.013243293389678001,0.11507950723171234,3,0.53084582301852,0.2625369362759521,0.03025585070048293,1.0067275474372985,,,
Temp_all_dynamic_graph_5NN.pt,0,0.013243293389678001,0.11507950723171234,3,0.53084582301852,0.2625369362759521,0.03025585070048293,1.0067275474372985,0.019642531871795654,0.011843438260257244,0.014648571067179242
MP_all_graph_5NN.pt,0,0.013243293389678001,0.11507950723171234,3,0.53084582301852,0.2625369362759521,0.03025585070048293,1.0067275474372985,,,
Concat_all_graph_5NN.pt,0,0.013243293389678001,0.11507950723171234,3,0.53084582301852,0.2625369362759521,0.03025585070048293,1.0067275474372985,,,
Temp_surveys_graph_5NN.pt,0,0.01948915235698223,0.13960355520248413,5,0.3878745365073506,0.1988435711497422,0.038046019044640944,0.7362352129663268,,,
Temp_surveys_dynamic_graph_5NN.pt,0,0.01948915235698223,0.13960355520248413,5,0.3878745365073506,0.1988435711497422,0.038046019044640944,0.7362352129663268,0.022867698222398758,0.017783213406801224,0.020438159195085365
MP_surveys_graph_5NN.pt,0,0.01948915235698223,0.13960355520248413,5,0.3878745365073506,0.1988435711497422,0.038046019044640944,0.7362352129663268,,,
Concat_surveys_graph_5NN.pt,0,0.01948915235698223,0.13960355520248413,5,0.3878745365073506,0.1988435711497422,0.038046019044640944,0.7362352129663268,,,
